公司,年/月,季別,合併(Y/N),月份,幣別,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  避險之金融資產－流動,  合約資產－流動,  應收帳款及票據,  其他應收款,  資金貸予他人－流動,  存貨,  待出售非流動資產,  當期所得稅資產－流動,流動資產,  透過損益按公允價值衡量之金融資產－非流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  按攤銷後成本衡量之金融資產－非流動,  避險之金融資產－非流動,  合約資產－非流動,  採權益法之長期股權投資,  預付投資款,  不動產廠房及設備,  商譽及無形資產合計,    遞延所得稅資產,  遞延資產合計,    使用權資產,    投資性不動產淨額,  其他非流動資產,非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  避險之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  負債準備－流動,  與待出售非流動資產直接相關之負債,  租賃負債─流動,  一年內到期長期負債,  特別股負債－流動,流動負債,  透過損益按公允價值衡量之金融負債－非流動,  避險之金融負債－非流動,  按攤銷後成本衡量之金融負債－非流動,  合約負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  銀行借款－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,非流動負債,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
1101 台泥,2022/06,2,Y,06,NTD,"100,497,555","897,051","6,167,487","17,901,319",0,"303,734","29,399,946","2,956,738",0,"18,318,975",0,0,"182,214,459",0,"25,435,382","5,302,392",0,0,"47,658,167",0,"107,366,250","27,738,042",0,0,"15,278,120","5,416,901","56,559,517","270,059,750","452,274,209","48,804,574","3,681,025","508,322",0,0,"1,363,052","13,304,491","16,148,974","1,499,768",0,0,"416,216","873,496",0,"86,861,356",0,0,0,0,0,"89,442,081","24,965,582","15,004,165","3,437,272",0,0,"82,272","12,239,829","146,453,922","233,315,278","61,252,340","2,000,000",0,"6,116,173",0,"69,368,513","56,802,786","23,950,392","13,039,860","25,775,129","62,765,381","11,686,482","-200,808","200,422,354",0,0,"18,536,577","218,958,931","452,274,209"
1102 亞泥,2022/06,2,Y,06,NTD,"48,922,235","25,714,152","5,011,860","6,227,294",0,"240,386","13,281,327","4,843,775",0,"8,966,932",0,"122,179","115,705,226",0,"10,532,895","73,081",0,0,"89,098,547","1,591,680","41,043,785","6,954,898","864,883","864,883","5,115,415","36,722,972","60,522,703","210,682,472","326,387,698","26,789,774","24,425,736",0,0,0,"1,154,368","9,981,490","13,280,840","1,297,129","97,767",0,"270,767","3,719,897",0,"81,017,768",0,0,0,0,0,"45,119,987","8,592,984",0,"1,356,110","1,024,677",0,"120,261","10,140,572","67,297,053","148,314,821","35,459,276",0,0,0,0,"35,459,276","5,993,272","21,318,344","66,656,628","21,983,248","109,958,220","3,309,388",0,"154,720,156",0,0,"23,352,721","178,072,877","326,387,698"
1101 台泥,2022/03,1,Y,03,NTD,"98,040,416","370,222","6,978,002","20,341,977",0,"98,979","33,801,330","1,657,847",0,"13,552,203",0,0,"181,032,587",0,"28,349,964","5,874,111",0,0,"48,438,239",0,"103,227,319","28,443,122",0,0,"15,433,901","5,420,880","57,472,929","271,805,684","452,838,271","49,691,467","6,159,512","461,702",0,0,"1,398,293","11,279,929","8,796,167","2,104,940",0,0,"416,321","29,080,294",0,"109,658,131",0,0,0,0,0,"81,616,287","8,455,784","697,646","3,222,571",0,0,"84,705","12,075,590","107,422,385","217,080,516","61,252,340","2,000,000",0,0,0,"63,252,340","56,758,936","21,881,915","13,039,860","40,218,445","75,140,220","20,037,610","-392,343","214,796,763",0,0,"20,960,992","235,757,755","452,838,271"
1102 亞泥,2022/03,1,Y,03,NTD,"38,453,415","25,081,781","7,360,781","9,431,801",0,"188,881","13,345,831","609,174",0,"8,721,208",0,"103,961","106,203,789",0,"11,747,542","61,460",0,0,"91,128,005","1,590,072","42,055,727","7,145,411","890,369","890,369","5,003,579","36,922,070","60,919,112","215,537,698","321,741,487","23,966,913","26,939,924",0,0,0,"1,207,946","10,053,727","293,657","1,451,690","62,908",0,"260,953","1,674,417",0,"65,912,135",0,0,0,0,0,"45,131,966","7,634,708",0,"1,170,526","1,020,916",0,"123,165","10,447,140","66,489,698","132,401,833","35,455,721",0,0,0,0,"35,455,721","5,983,657","19,783,405","66,476,869","31,288,191","117,548,465","5,930,576",0,"164,918,419",0,0,"24,421,235","189,339,654","321,741,487"
1101 台泥,2021/12,4,Y,12,NTD,"91,121,942","363,813","6,387,543","15,508,688",0,"179,035","35,940,929","1,888,290",0,"13,412,511",0,0,"169,353,435",0,"27,835,864","15,468,807",0,0,"46,781,575",0,"98,196,032","27,650,861","373,167","373,167","14,992,784","5,425,680","56,024,818","272,331,124","441,684,559","48,440,514","6,769,046","213,062",0,0,"1,439,222","10,023,071","11,629,253","2,490,823",0,0,"407,652","7,091,417",0,"88,687,968",0,0,0,0,0,"81,526,445","16,695,836","12,680,086","3,261,791",0,0,"143,201","11,922,865","127,341,918","216,029,886","61,252,340","2,000,000",0,0,0,"63,252,340","56,757,470","21,881,915","13,039,860","39,018,077","73,939,852","10,920,014","-392,343","204,477,333",0,0,"21,177,340","225,654,673","441,684,559"
1102 亞泥,2021/12,4,Y,12,NTD,"33,450,618","24,229,761","7,200,544","14,755,328",0,"188,287","14,427,468","568,283",0,"8,813,309",0,"73,780","105,955,718",0,"11,132,674","60,619",0,0,"88,108,186","1,588,689","41,431,732","6,969,037","891,351","891,351","4,756,164","36,843,630","60,918,063","211,100,351","317,056,069","23,699,570","27,887,081",0,0,0,"1,122,135","12,502,369","292,100","2,414,410","74,782",0,"187,274","2,902,645",0,"71,082,366",0,0,0,0,0,"45,131,854","7,050,329",0,"1,084,452","1,027,756",0,"130,949","10,297,825","65,700,817","136,783,183","35,455,721",0,0,0,0,"35,455,721","5,986,339","19,783,405","66,476,869","28,739,477","114,999,751","485,112",0,"156,926,923",0,0,"23,345,963","180,272,886","317,056,069"
1101 台泥,2021/09,3,Y,09,NTD,"59,958,809","335,314","6,180,994","15,157,115",0,0,"36,493,940","1,330,572",0,"11,238,700",0,0,"135,301,674",0,"28,145,542","16,360,700",0,0,"47,538,476",0,"94,726,660","24,714,757",0,0,"14,102,007","5,427,593","54,592,828","266,078,963","401,380,637","35,643,323","6,895,773",0,0,0,"2,410,942","8,274,800","9,399,631","2,132,292",0,0,"364,352","8,202,250",0,"73,505,341",0,0,0,0,0,"61,114,332","18,610,026","11,977,104","2,594,630",0,0,"87,586","11,613,094","106,954,607","180,459,948","61,235,800","2,000,000",0,0,"6,203","63,242,003","55,390,739","21,881,915","13,039,860","33,722,130","68,643,905","14,830,503","-392,343","201,714,807",0,0,"19,205,882","220,920,689","401,380,637"
1102 亞泥,2021/09,3,Y,09,NTD,"33,405,511","17,125,549","3,740,217","16,075,427",0,"143,727","15,967,591","843,836",0,"7,453,192",0,"60,465","98,148,726",0,"11,078,421","60,619",0,0,"86,211,972","1,587,257","41,578,114","7,006,131","593,468","593,468","4,924,446","36,671,838","61,023,158","209,139,140","307,287,866","18,159,292","21,603,774",0,0,0,"1,560,240","9,804,366","473,500","1,319,952","15,000",0,"195,895","3,900,759",0,"57,032,778",0,0,0,0,0,"45,178,844","17,396,328",0,"1,123,196","963,526",0,"154,814","10,200,669","76,015,970","133,048,748","34,460,572",0,"981,169",0,0,"35,441,741","5,972,507","19,783,405","66,476,869","24,485,730","110,746,004","-457,366",0,"151,702,886",0,0,"22,536,232","174,239,118","307,287,866"
1101 台泥,2021/06,2,Y,06,NTD,"63,835,177","362,554","6,097,715","7,593,330",0,0,"32,778,256","1,069,266",0,"9,050,183","8,775,403",0,"133,913,872",0,"26,374,488","16,394,154",0,0,"48,819,599",0,"88,543,009","19,327,466",0,0,"13,366,320","5,437,080","54,433,009","253,891,725","387,805,597","33,348,861","4,995,039",0,0,0,"1,388,618","7,329,827","9,200,675","2,708,808",0,"7,366,853","331,059","4,600,500",0,"71,317,037",0,0,0,0,0,"44,569,541","21,578,225","4,992,007","2,196,179",0,0,"66,840","11,681,069","85,959,982","157,277,019","59,574,403","2,000,000",0,0,"1,661,397","63,235,800","55,380,287","19,351,361","13,039,860","53,595,931","85,987,152","12,721,098","-392,343","216,931,994",0,0,"13,596,584","230,528,578","387,805,597"
1102 亞泥,2021/06,2,Y,06,NTD,"34,503,951","14,849,206","4,262,380","16,362,145",0,"198,892","15,455,339","3,528,399",0,"7,039,445",0,"8,643","98,193,043",0,"10,804,896","61,019",0,0,"85,137,373","1,541,462","52,163,938","7,035,168","753,776","753,776","5,049,173","36,657,283","51,447,047","208,944,679","307,137,722","24,320,572","13,806,307","599,338",0,0,"900,808","9,456,234","12,419,932","1,425,379","15,000",0,"213,514","11,602,256",0,"74,759,340",0,0,0,0,0,"38,800,000","15,395,009",0,"1,175,760","937,036",0,"160,598","10,109,678","67,598,100","142,357,440","33,673,795",0,0,0,0,"33,673,795","1,634,414","19,783,405","66,476,869","21,096,793","107,357,067","-93,068",0,"142,572,208",0,0,"22,208,074","164,780,282","307,137,722"
