公司,年/月,季別,合併(Y/N),月份,幣別,營業收入淨額,營業成本,營業毛利,聯屬公司已（未）實現銷貨利益,已實現銷貨毛利,營業費用,  研究發展費,  預期信用減損（損失）利益－營業費用,其他收益及費損淨額,營業利益,  利息收入,其他收入,其他利益及損失,財務成本,採權益法之關聯企業及合資損益之份額,預期信用減損（損失）利益,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,營業外收入及支出－其他,營業外收入及支出,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
1101 台泥,2022/06,2,Y,06,NTD,"48,151,294","45,932,917","2,218,377",0,"2,218,377","4,018,433","746,736",0,0,"-1,800,056","799,160","2,742,329","-484,499","1,185,382","1,464,969",0,0,0,0,"2,537,417","737,361","821,570","-84,209",0,0,0,"-84,209","-3,363,318","4,139,407",0,"776,089","691,880","1,408,190","-1,492,399",0,"2,174,449","-1,482,569",0,0.16,"6,729,025","350,000","1,058,190",0.16,"6,730,475","1,922,743","6,016,598","265,303"
1102 亞泥,2022/06,2,Y,06,NTD,"44,950,478","37,823,270","7,127,208",0,"7,127,208","1,631,851",0,"-72,275",0,"5,495,357","355,612","1,090,766","263,346","475,470","2,679,586",0,0,0,0,"3,558,228","9,053,585","1,608,927","7,444,658",0,0,0,"7,444,658","-492,605","3,819,862",0,"3,327,257","10,771,915","6,991,773","452,885",0,"9,837,930","933,985",0,2.11,"3,313,051",0,"6,992,052",2.11,"3,317,380","9,529,055","11,953,363","7,282,329"
1101 台泥,2022/03,1,Y,03,NTD,"22,973,461","20,886,629","2,086,832",0,"2,086,832","1,879,209","318,104",0,0,"207,623","372,039","858,838","8,613","525,210","622,247",0,0,0,0,"964,488","1,172,111","315,605","856,506",0,0,0,"856,506","633,543","8,610,782",0,"9,244,325","10,100,831","1,204,144","-347,638",0,"10,317,964","-217,133",0,0.2,"6,116,173",0,"1,204,144",0.2,"6,242,129","1,697,321","3,640,882","1,061,391"
1102 亞泥,2022/03,1,Y,03,NTD,"20,460,961","17,485,069","2,975,892",0,"2,975,892","511,629",0,"-230,156",0,"2,464,263","176,944","245,536","228,366","225,041","720,887",0,0,0,0,"969,748","3,434,011","717,167","2,716,844",0,0,0,"2,716,844","1,634,060","4,717,414",0,"6,351,474","9,068,318","2,533,389","183,455",0,"7,993,010","1,075,308",0,0.76,"3,312,925",0,"2,533,563",0.76,"3,317,515","3,659,052","4,866,204","2,535,396"
1101 台泥,2021/12,4,Y,12,NTD,"107,041,452","80,391,353","26,650,099",0,"26,650,099","6,863,624","357,552",0,0,"19,786,475","1,535,980","4,117,239","-304,916","1,670,463","4,149,749",0,0,0,0,"6,291,609","26,078,084","5,930,387","20,147,697","1,053,559",0,0,"21,201,256","-2,420,068","-6,646,065",0,"-9,066,133","12,135,123","20,256,366","944,890",0,"11,281,319","853,804",0,3.3,"6,034,789","350,000","19,973,782",3.27,"6,117,523","27,748,547","34,812,228","19,578,311"
1102 亞泥,2021/12,4,Y,12,NTD,"94,034,188","72,853,310","21,180,878",0,"21,180,878","3,494,661",0,"638,694",0,"17,686,217","807,847","1,482,367","-2,658,895","894,326","6,318,550",0,0,0,0,"4,247,696","21,933,913","4,406,143","17,527,770",0,0,0,"17,527,770","1,079,966","-1,476,516",0,"-396,550","17,131,220","15,068,221","2,459,549",0,"14,758,614","2,372,606",0,4.7,"3,203,972",0,"15,162,173",4.57,"3,315,103","22,828,239","27,758,277","17,961,642"
1101 台泥,2021/09,3,Y,09,NTD,"76,904,796","57,595,324","19,309,472",0,"19,309,472","4,202,060","58,118",0,0,"15,107,412","1,156,178","3,165,212","-216,119","1,205,082","2,494,138",0,0,0,0,"4,238,149","19,345,561","4,159,059","15,186,502","1,053,559",0,0,"16,240,061","-707,374","-4,344,291",0,"-5,051,665","11,188,396","14,836,550","1,403,511",0,"9,804,607","1,383,789",0,2.41,"6,007,803","350,000","14,553,836",2.38,"6,116,228","20,550,643","26,002,951","14,809,240"
1102 亞泥,2021/09,3,Y,09,NTD,"66,190,204","51,152,128","15,038,076",0,"15,038,076","2,505,236",0,"152,985",0,"12,532,840","668,976","1,290,406","-1,246,139","672,547","4,476,836",0,0,0,0,"3,848,556","16,381,396","3,383,892","12,997,504",0,0,0,"12,997,504","370,115","-2,246,631",0,"-1,876,516","11,120,988","11,070,037","1,927,467",0,"9,559,726","1,561,262",0,3.5,"3,167,236",0,"11,163,884",3.37,"3,313,026","17,053,943","20,719,439","13,487,683"
1101 台泥,2021/06,2,Y,06,NTD,"50,023,364","35,889,688","14,133,676",0,"14,133,676","2,882,291",0,0,0,"11,251,385","766,934","2,469,951","76,512","793,858","1,649,791",0,0,0,0,"3,402,396","14,653,781","3,168,332","11,485,449","517,728",0,0,"12,003,177","-2,568,673","-4,578,095",0,"-7,146,768","4,856,409","10,852,066","1,151,111",0,"3,713,523","1,142,886",0,1.82,"5,954,339",0,"10,919,070",1.79,"6,116,248","15,447,639","18,924,350","11,039,949"
1102 亞泥,2021/06,2,Y,06,NTD,"42,796,429","32,225,928","10,570,501",0,"10,570,501","1,540,062",0,"135,748",0,"9,030,439","393,752","955,122","-889,430","401,224","2,853,549",0,0,0,0,"2,518,017","11,548,456","2,333,184","9,215,272",0,0,0,"9,215,272","375,419","-1,829,865",0,"-1,454,446","7,760,826","7,715,094","1,500,178",0,"6,536,102","1,224,724",0,2.46,"3,131,298",0,"7,792,142",2.35,"3,311,289","11,949,680","14,393,549","9,548,708"
